codgeo;libgeo;p21_pop
85062;Châteauneuf;1134
58300;Urzy;1742
70137;Chassey-lès-Montbozon;225
51649;Vitry-le-François;11454
78638;Vaux-sur-Seine;5083
63089;Chappes;1617
57235;Freistroff;1020
66026;Brouilla;1581
27420;Mouflaines;164
42150;Montverdun;1322
15088;Lacapelle-Viescamp;513
14541;La Roque-Baignard;110
47066;Clermont-Dessous;844
60032;Autrêches;713
39478;Saint-Claude;8727
73005;Aillon-le-Vieux;206
50478;Saint-Germain-de-Tournebut;419
25612;Vieilley;675
70007;Ailloncourt;306
12303;Vimenet;252
59668;Zuydcoote;1580
35287;Saint-Lunaire;2525
40134;Labouheyre;2839
24075;Campagnac-lès-Quercy;324
11319;Roquefère;74
41112;Lassay-sur-Croisne;245
89059;Bussy-en-Othe;699
32233;Marciac;1206
21348;Licey-sur-Vingeanne;102
09014;Argein;192
43201;Saint-Julien-d'Ance;247
30320;Seynes;165
76319;Grand-Couronne;9726
80549;Miraumont;639
57014;Altrippe;369
14066;Bernières-sur-Mer;2388
37171;Noizay;1125
47068;Cocumont;1088
81125;Lacaze;314
65217;Hautaget;58
62577;Monchel-sur-Canche;75
27407;Mesnil-Verclives;318
27188;Criquebeuf-sur-Seine;1524
67310;Mussig;1139
55362;Moulins-Saint-Hubert;183
10325;Rosières-près-Troyes;4749
45214;Montigny;238
07126;Lagorce;1195
08491;Vrigne-aux-Bois;3540
38474;Sassenage;11660
11269;Ouveillan;2554
35155;Lohéac;682
57072;Bettelainville;622
22254;Prat;1103
31141;Ciadoux;219
55574;Vouthon-Bas;41
71242;Joncy;512
80269;Épaumesnil;109
57486;Morville-sur-Nied;116
63461;Vinzelles;365
54460;Rogéville;155
43241;Solignac-sur-Loire;1283
54128;Choloy-Ménillot;706
67095;Diemeringen;1592
42225;Genilac;3843
57002;Aboncourt-sur-Seille;65
65013;Ansost;57
27033;Bacquepuis;307
52156;Curel;407
55514;Trémont-sur-Saulx;588
67460;Schwindratzheim;1759
44031;La Chapelle-Glain;807
55099;Champneuville;123
62624;Noyelles-Godault;5906
27667;Valailles;401
64161;Came;1013
23021;Bénévent-l'Abbaye;764
59588;Téteghem;8384
02460;Marcy-sous-Marle;205
36175;Rouvres-les-Bois;275
39203;Doye;106
82118;Montaïn;94
64360;Lurbe-Saint-Christau;201
46003;Alvignac;691
973353;Maripasoula;9177
23064;Clugnat;650
76524;Reuville;143
64474;Saint-Dos;158
77295;Moisenay;1371
64490;Saint-Martin-d'Arrossa;546
26345;Suze-la-Rousse;2096
76210;Dampierre-Saint-Nicolas;450
01408;Simandre-sur-Suran;656
40054;Brassempouy;267
16031;Barro;411
95301;Haute-Isle;290
51264;Le Gault-Soigny;503
25627;Villers-sous-Chalamont;296
74190;Morillon;669
60317;Hondainville;727
58055;Champvert;743
38174;La Frette;1092
28039;Béville-le-Comte;1682
11178;Labastide-d'Anjou;1271
60121;Campagne;159
68007;Andolsheim;2195
02063;Bellenglise;380
72334;Sillé-le-Guillaume;2195
14403;Marolles;744
78402;Mézières-sur-Seine;3826
39141;Chevigny;281
62112;Berles-au-Bois;523
67558;Zinswiller;725
16095;Chenon;127
31540;Ségreville;334
57287;Basse-Ham;2237
80442;Hombleux;1139
41121;La Madeleine-Villefrouin;32
80236;Davenescourt;557
23202;Saint-Hilaire-le-Château;226
55556;Ville-devant-Chaumont;49
62573;Meurchin;3717
38406;Saint-Julien-de-l'Herms;160
74238;Saint-Jean-d'Aulps;1596
60648;Troussencourt;319
87105;Neuvic-Entier;890
86217;Saint-Christophe;277
21055;Beaunotte;14
09292;Sentenac-de-Sérou;53
59627;Villers-Sire-Nicole;1006
88224;Hadigny-les-Verrières;380
52128;Cirey-lès-Mareilles;149
30341;Vauvert;11774
57471;Momerstroff;297
43262;Vieille-Brioude;1219
34126;Lamalou-les-Bains;2454
50174;Équilly;194
27323;La Haye-Saint-Sylvestre;290
84039;Courthézon;6064
26133;Fay-le-Clos;177
23232;Saint-Pierre-Bellevue;211
31465;Saccourvielle;20
14042;Baron-sur-Odon;1055
33174;Fronsac;1120
80469;Lawarde-Mauger-l'Hortoy;156
24242;Liorac-sur-Louyre;260
16244;Nersac;2289
68336;Traubach-le-Bas;445
80458;Lahoussoye;451
41236;Sasnières;88
18119;Jussy-Champagne;205
31351;Mondonville;5680
90045;Fêche-l'Église;739
32419;Sauviac;107
43022;Beaumont;268
55013;Arrancy-sur-Crusne;464
15016;Ayrens;620
21428;Monthelie;153
62735;Sailly-Labourse;2577
56083;Hennebont;15746
04069;Demandolx;119
