"VillePlus","Adresse","Ville"
"Magasin d'AIX-LES-BAINS","    12 boulevard de Lattre de Tass 73100 AIX LES BAINS ","AIX LES BAINS"
"Magasin d'AJACCIO ALBERT 1ER","    10 Boulevard Albert 1er 20000 AJACCIO ","AJACCIO"
"Magasin d'AJACCIO","    ROUTE DE MEZZAVIA 20090 AJACCIO ","AJACCIO"
"Magasin d'ALBERTVILLE","    220, Rue Louis Armand ZAC Chiriac 73200 ALBERTVILLE","ALBERTVILLE"
"Magasin d'ALÈS","    58 chemin du Viget 30100 ALES ","ALES"
"Magasin d'ANDELNANS","    Route de Montbéliard ""Les Chenevières"""" 90400 ANDELNANS""","ANDELNANS"
"Magasin d'ARBENT","    2, rue du 1er Mai ZI Nord 01100 ARBENT","ARBENT"
"Magasin d'ARLES","    5, rue de Sagné Zone commerciale Fourchon 13200 ARLES","ARLES"
"Magasin d'ARNAGE","    182 Bd Pierre Lefaucheux 72230 ARNAGE ","ARNAGE"
"Magasin d'ARRAS","    243, avenue JF Kennedy 62000 ARRAS ","ARRAS"
"Magasin d'AUBAGNE","    120, Avenue Robespierre 13400 AUBAGNE ","AUBAGNE"
"Consigne d'AUBAGNE","    120, Avenue Robespierre 13400 AUBAGNE ","AUBAGNE"
"Magasin d'AUBENAS","    31 D Route de Montélimar 07200 AUBENAS ","AUBENAS"
"Magasin d'AUBIÈRE","    5 Ter, Avenue du Roussillon 63170 AUBIERE ","AUBIERE"
"Magasin de METZ AUGNY","    66, Rue des 30 Jours ACTISUD 57685 AUGNY","AUGNY"
"Magasin de BAR-LE-DUC","    18 rue des Brielles Zac de la Grande Terre 55000 BAR LE DUC","BAR LE DUC"
"Magasin de BASTIA TOGA","    Immeuble Lion de Toga Route du Cap 20200 BASTIA","BASTIA"
"Magasin de BEAUNE","    2, Rue du Moulin Noize 21200 BEAUNE ","BEAUNE"
"Magasin de BERGERAC","    9, Rue Ferdinand de Labatut 24100 BERGERAC ","BERGERAC"
"Magasin de BESANÇON","    143, rue de Dôle 25000 BESANCON ","BESANCON"
"Magasin de BEYNOST","    21, rue Saint-Pierre 01700 BEYNOST ","BEYNOST"
"Magasin de BOÉ","    501, avenue d'Aquitaine 47550 BOE ","BOE"
"Magasin de BOLLÈNE","    118-146, Rue Django Reinhardt 84500 BOLLENE ","BOLLENE"
"Magasin de BOULOGNE-BILLANCOURT","    9, boulevard Jean Jaurès 92100 BOULOGNE BILLANCOURT ","BOULOGNE BILLANCOURT"
"Magasin de BOURG-LÈS-VALENCE","    91, rue des Chabanneries 26500 BOURG LES VALENCE ","BOURG LES VALENCE"
"Magasin de BOURGES","    34, Chaussée de Chappe 18000 BOURGES ","BOURGES"
"Magasin de BOURGOIN-JALLIEU","    8, rue Traversière 38300 BOURGOIN JALLIEU ","BOURGOIN JALLIEU"
"Magasin de BRIVE-LA-GAILLARDE","    15D, Avenue Guynemer 19100 BRIVE LA GAILLARDE ","BRIVE LA GAILLARDE"
"Magasin de BRIVES-CHARENSAC","    3 Rond point de Corsac 43700 BRIVES CHARENSAC ","BRIVES CHARENSAC"
"Magasin de BURNHAUPT","    Zone Commerciale Pont d'Aspach 68520 BURNHAUPT LE HAUT","BURNHAUPT LE HAUT"
"Magasin de CABESTANY","    5, Avenue Marie Curie 66330 CABESTANY ","CABESTANY"
"Magasin de CAGNES-SUR-MER","    17, Boulevard du Maréchal Juin 06800 CAGNES/MER ","CAGNES-SUR-MER"
"Magasin de CAHORS","    Avenue de Toulouse Belle Croix 46000 CAHORS","CAHORS"
"Magasin de CALVI","    Résidence Caroline Avenue Christophe Colomb 20260 CALVI","CALVI"
"Magasin de CARCASSONNE","    Rond Point de l'Europe 11000 CARCASSONNE ","CARCASSONNE"
"Magasin de CERNAY","    1, Avenue d'Alsace 68700 CERNAY ","CERNAY"
"Magasin de CESSON-SÉVIGNÉ","    1, Avenue des Peupliers 35510 CESSON SEVIGNE ","CESSON SEVIGNE"
"Magasin de CHALON-SUR-SAÔNE","    137, Avenue de Paris 71100 CHALON SUR SAONE ","CHALON SUR SAONE"
"Magasin de CHANCELADE","    26, route de Ribérac 24650 CHANCELADE ","CHANCELADE"
"Magasin de CHASSENEUIL","    1 avenue des Grands Philambins 86360 CHASSENEUIL DU POITOU ","CHASSENEUIL DU POITOU"
"Magasin de CHAUMONT","    ZI du  Moulin Neuf 52000 CHAUMONT ","CHAUMONT"
"Magasin de CHENÔVE","    1, Impasse Jean Perrin 21300 CHENOVE ","CHENOVE"
"Magasin de CHOISEY","    Rue Fourney Centre commercial 39100 CHOISEY","CHOISEY"
"Magasin de CLERMONT-FERRAND","    10 rue Robert Lemoy 63100 CLERMONT FERRAND ","CLERMONT FERRAND"
"Magasin de COLMAR","    3, Route de Strasbourg 68000 COLMAR ","COLMAR"
"Magasin de CONFLANS-EN-JARNISY","    route de Jeandelize ZAC du Val de l'Orne 54800 CONFLANS EN JARNISY","CONFLANS EN JARNISY"
"Magasin de CONTREXÉVILLE","    54 Rue des Tulipiers Z.A. de la Chaille - Leclerc 88140 CONTREXEVILLE","CONTREXEVILLE"
"Magasin de CREUTZWALD","    82, Rue de Longeville 57150 CREUTZWALD ","CREUTZWALD"
"Magasin de DÉCINES","    2, Rue Honoré de Balzac 69150 DECINES CHARPIEU ","DECINES CHARPIEU"
"Magasin de DIJON","    4, Place Saint Exupéry 21000 DIJON ","DIJON"
"Magasin de DOMÉRAT","    93, Avenue des Martyrs 03410 DOMERAT ","DOMERAT"
"Magasin de DRAVEIL","    19, avenue de l'Europe 91210 DRAVEIL ","DRAVEIL"
"Magasin de DREUX","    111, Avenue du Général Leclerc 28100 DREUX ","DREUX"
