Code INSEE;Code Postal;Commune;Département;Région;Statut;Superficie;Population
62079;62450;BANCOURT;['PAS-DE-CALAIS'];['NORD-PAS-DE-CALAIS'];['Commune simple'];457.0;0.1
15072;15310;FREIX-ANGLARDS;['CANTAL'];['AUVERGNE'];['Commune simple'];1769.0;0.2
68265;68510;RANTZWILLER;['HAUT-RHIN'];['ALSACE'];['Commune simple'];527.0;0.8
71005;71510;ALUZE;['SAONE-ET-LOIRE'];['BOURGOGNE'];['Commune simple'];603.0;0.2
62767;62130;SAINT-POL-SUR-TERNOISE;['PAS-DE-CALAIS'];['NORD-PAS-DE-CALAIS'];['Chef-lieu canton'];827.0;5.1
22255;22210;LA PRENESSAYE;"[""COTES-D'ARMOR""]";['BRETAGNE'];['Commune simple'];1725.0;0.8
87170;87130;SAINT-MEARD;['HAUTE-VIENNE'];['LIMOUSIN'];['Commune simple'];2454.0;0.4
81217;81140;PUYCELSI;['TARN'];['MIDI-PYRENEES'];['Commune simple'];3955.0;0.5
21183;21110;COLLONGES-LES-PREMIERES;"[""COTE-D'OR""]";['BOURGOGNE'];['Commune simple'];930.0;0.8
79045;79110;BOUIN;['DEUX-SEVRES'];['POITOU-CHARENTES'];['Commune simple'];831.0;0.1
89292;89360;PERCEY;['YONNE'];['BOURGOGNE'];['Commune simple'];954.0;0.30000000000000004
87158;87310;SAINT-LAURENT-SUR-GORRE;['HAUTE-VIENNE'];['LIMOUSIN'];['Chef-lieu canton'];3965.0;1.4
73264;73100;SAINT-OFFENGE-DESSUS;['SAVOIE'];['RHONE-ALPES'];['Commune simple'];774.0;0.30000000000000004
23029;23220;LE BOURG-D'HEM;['CREUSE'];['LIMOUSIN'];['Commune simple'];1558.0;0.2
64101;64800;BAUDREIX;['PYRENEES-ATLANTIQUES'];['AQUITAINE'];['Commune simple'];200.0;0.5
41072;41100;CRUCHERAY;['LOIR-ET-CHER'];['CENTRE'];['Commune simple'];2559.0;0.4
76283;76270;FRESLES;['SEINE-MARITIME'];['HAUTE-NORMANDIE'];['Commune simple'];1086.0;0.2
